label,filename,filepath,file_size,filename_length,extension_count,has_double_extension,has_uppercase_extension,has_unicode_control_char,special_char_ratio,extension_category,is_executable_extension,is_script_extension,is_macro_document,is_archive_extension,is_unknown_extension,magic_bytes_known,magic_bytes_valid,extension_mime_mismatch,claimed_mime_mismatch,embedded_file_signature_count,byte_entropy,header_entropy,printable_ratio,null_byte_ratio,unique_byte_count,url_count,ip_address_count,base64_candidate_count,suspicious_command_count,execution_api_count,network_api_count,obfuscation_pattern_count,suspicious_string_count,archive_entry_count,executable_entry_count,script_entry_count,archive_depth,compression_ratio,archive_bomb_suspected
malware,1cab1a4715155b300f78e1cc77f954ab720b30453440c41a7012f929b56ef6f8.exe,data\raw\malware\1cab1a4715155b300f78e1cc77f954ab720b30453440c41a7012f929b56ef6f8.exe,96297,68,1,0,0,0,0.0147058823529411,executable,1,0,0,0,0,1,1,0,,0,7.4025894742715295,4.152644904548279,0.3265314599624079,0.106254608139402,256,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
malware,1cdf002f3301c1efd117c3d570e5f92013a7930aa192b00739a622ce77809b19.exe,data\raw\malware\1cdf002f3301c1efd117c3d570e5f92013a7930aa192b00739a622ce77809b19.exe,131168,68,1,0,0,0,0.0147058823529411,executable,1,0,0,0,0,1,1,0,,1,6.856591454725542,5.295457025678133,0.2927314588924128,0.1901225908758233,256,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,716333df2e562cb8f35cba395fc4099bad7d28c5fe3ea391611163b04cd7e04e.ole,data\raw\benign\716333df2e562cb8f35cba395fc4099bad7d28c5fe3ea391611163b04cd7e04e.ole,38681,68,0,0,0,0,0.0147058823529411,unknown,0,0,0,0,1,1,0,0,,19,7.7676473643631985,6.617166404075534,0.3538429720017579,0.0726454848633696,256,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,8ac39a906e4abe5d8c59f177c5ab92118f32fe0935c625a15a99df05998c381a.exe,data\raw\benign\8ac39a906e4abe5d8c59f177c5ab92118f32fe0935c625a15a99df05998c381a.exe,51552,68,1,0,0,0,0.0147058823529411,executable,1,0,0,0,0,1,1,0,,9,6.035640922618173,5.442018662746702,0.3940487274984481,0.2897656734947237,256,20,1,0,0,0,0,0,0,0,0,0,0,0.0,0
malware,1d940e064cb743cd9e18abfcc4f92d45d03dff7d8728d74988d8cf00a552d91b.exe,data\raw\malware\1d940e064cb743cd9e18abfcc4f92d45d03dff7d8728d74988d8cf00a552d91b.exe,417792,68,1,0,0,0,0.0147058823529411,executable,1,0,0,0,0,1,1,0,,8,7.767141061179092,0.7070085405106297,0.3419716030943627,0.0689314299938725,256,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,6232e33d88d2cad0dbe0fc4324f63fb2b9ba833b0d14f7fd529ab52ed7c6dacd.exe,data\raw\benign\6232e33d88d2cad0dbe0fc4324f63fb2b9ba833b0d14f7fd529ab52ed7c6dacd.exe,288240,68,1,0,0,0,0.0147058823529411,executable,1,0,0,0,0,1,1,0,,2,6.614556320378185,5.4980773669677605,0.3141132389675271,0.1477379961143491,256,13,1,1,0,0,0,1,1,0,0,0,0,0.0,0
malware,1d094beecd56ab33b6c148d46d32c8d0c9d628cd2008becb273565f1a7902649.ole,data\raw\malware\1d094beecd56ab33b6c148d46d32c8d0c9d628cd2008becb273565f1a7902649.ole,1400320,68,0,0,0,0,0.0147058823529411,unknown,0,0,0,0,1,0,0,0,,24,7.995798770129614,2.678991923082633,0.3682501142595978,0.0092807358318098,256,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,e000a2915cdc991900e600a9848c836c6b62241cd7198eeb635344530869d912.exe,data\raw\benign\e000a2915cdc991900e600a9848c836c6b62241cd7198eeb635344530869d912.exe,56720,68,1,0,0,0,0.0147058823529411,executable,1,0,0,0,0,1,1,0,,9,6.0695009731097,5.532477668352615,0.3864774330042313,0.2850669957686882,256,20,1,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,22ddabf71254d873f6aef02b12e5c4923bbafe67a9c7e2f394fcf863813230be.exe,data\raw\benign\22ddabf71254d873f6aef02b12e5c4923bbafe67a9c7e2f394fcf863813230be.exe,41472,68,1,0,0,0,0.0147058823529411,executable,1,0,0,0,0,1,1,0,,3,5.5727777924488455,5.643646896850788,0.3483072916666667,0.3161651234567901,255,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
malware,01a795638fe5829264455b8efe4c1dbb52d74b8fadf17c9af965c0f302be627c.exe,data\raw\malware\01a795638fe5829264455b8efe4c1dbb52d74b8fadf17c9af965c0f302be627c.exe,421888,68,1,0,0,0,0.0147058823529411,executable,1,0,0,0,0,1,1,0,,4,7.664111694586733,0.6701670425632172,0.3344039176274271,0.0959875606796116,256,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
