label,filename,filepath,file_size,filename_length,extension_count,has_double_extension,has_uppercase_extension,has_unicode_control_char,special_char_ratio,extension_category,is_executable_extension,is_script_extension,is_macro_document,is_archive_extension,is_unknown_extension,magic_bytes_known,magic_bytes_valid,extension_mime_mismatch,has_content_type,claimed_mime_mismatch,embedded_file_signature_count,byte_entropy,header_entropy,printable_ratio,null_byte_ratio,unique_byte_count,url_count,ip_address_count,base64_candidate_count,suspicious_command_count,execution_api_count,network_api_count,obfuscation_pattern_count,suspicious_string_count,archive_entry_count,executable_entry_count,script_entry_count,archive_depth,compression_ratio,archive_bomb_suspected
benign,index.php,data\raw\benign_wordpress_php\index.php,405,9,1,0,0,0,0.1111111111111111,script,0,1,0,0,0,0,0,0,0,0,0,4.807101502188504,4.807101502188504,0.9580246913580247,0.0,51,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,license.txt,data\raw\benign_wordpress_php\license.txt,19903,11,1,0,0,0,0.09090909090909091,document,0,0,0,0,0,0,0,0,0,0,0,4.758087678359411,4.707164952022499,0.961362608651962,0.0,78,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,readme.html,data\raw\benign_wordpress_php\readme.html,7406,11,0,0,0,0,0.09090909090909091,unknown,0,0,0,0,1,0,0,0,0,0,0,4.960224885909995,4.973045668169909,0.9793410748042128,0.0,77,21,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,wp-activate.php,data\raw\benign_wordpress_php\wp-activate.php,7371,15,1,0,0,0,0.13333333333333333,script,0,1,0,0,0,0,0,0,0,0,0,5.301706257512327,5.3213374517612175,0.9229412562745896,0.0,88,1,0,0,0,0,0,0,11,0,0,0,0,0.0,0
benign,about.php,data\raw\benign_wordpress_php\wp-admin\about.php,18349,9,1,0,0,0,0.1111111111111111,script,0,1,0,0,0,0,0,0,0,0,0,5.320843503763356,5.080767397653685,0.9052264428579214,0.0,91,17,0,0,0,0,0,0,1,0,0,0,0,0.0,0
benign,admin-ajax.php,data\raw\benign_wordpress_php\wp-admin\admin-ajax.php,5146,14,1,0,0,0,0.14285714285714285,script,0,1,0,0,0,0,0,0,0,0,0,5.1300306150588,5.077623659982071,0.9331519626894675,0.0,81,1,0,0,0,0,0,0,11,0,0,0,0,0.0,0
benign,admin-footer.php,data\raw\benign_wordpress_php\wp-admin\admin-footer.php,2811,16,1,0,0,0,0.125,script,0,1,0,0,0,0,0,0,0,0,0,5.108073430746136,5.108073430746136,0.9295624332977588,0.0,74,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,admin-functions.php,data\raw\benign_wordpress_php\wp-admin\admin-functions.php,479,19,1,0,0,0,0.10526315789473684,script,0,1,0,0,0,0,0,0,0,0,0,5.0346230501487845,5.0346230501487845,0.9561586638830898,0.0,58,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,admin-header.php,data\raw\benign_wordpress_php\wp-admin\admin-header.php,9291,16,1,0,0,0,0.125,script,0,1,0,0,0,0,0,0,0,0,0,5.131387026608571,5.099600191453962,0.9552254870304596,0.0,88,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,admin-post.php,data\raw\benign_wordpress_php\wp-admin\admin-post.php,2021,14,1,0,0,0,0.14285714285714285,script,0,1,0,0,0,0,0,0,0,0,0,5.012668718322117,5.012668718322117,0.9158832261256804,0.0,75,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0
benign,admin.php,data\raw\benign_wordpress_php\wp-admin\admin.php,12935,9,1,0,0,0,0.1111111111111111,script,0,1,0,0,0,0,0,0,0,0,0,5.184247205371813,5.247482781945708,0.9324313877077696,0.0,87,0,0,0,0,0,0,0,19,0,0,0,0,0.0,0
benign,async-upload.php,data\raw\benign_wordpress_php\wp-admin\async-upload.php,5604,16,1,0,0,0,0.125,script,0,1,0,0,0,0,0,0,0,0,0,5.278967620559148,5.207778523442074,0.9039971448965025,0.0,86,0,0,0,0,0,0,0,15,0,0,0,0,0.0,0
benign,authorize-application.php,data\raw\benign_wordpress_php\wp-admin\authorize-application.php,10335,25,1,0,0,0,0.08,script,0,1,0,0,0,0,0,0,0,0,0,5.06995242351204,5.122725211019409,0.8755684567005322,0.0,83,0,0,0,0,0,0,0,16,0,0,0,0,0.0,0
