label,filename,filepath,file_size,filename_length,extension_count,has_double_extension,has_uppercase_extension,has_unicode_control_char,special_char_ratio,extension_category,is_executable_extension,is_script_extension,is_macro_document,is_archive_extension,is_unknown_extension,magic_bytes_known,magic_bytes_valid,extension_mime_mismatch,claimed_mime_mismatch,embedded_file_signature_count,byte_entropy,header_entropy,printable_ratio,null_byte_ratio,unique_byte_count,url_count,ip_address_count,base64_candidate_count,suspicious_command_count,execution_api_count,network_api_count,obfuscation_pattern_count,suspicious_string_count,archive_entry_count,executable_entry_count,script_entry_count,archive_depth,compression_ratio,archive_bomb_suspected
benign,002ce0d28ec990aadbbc89df457189de37d8adaadc9c084b78eb7be9a9820c81.exe,data\raw\benign\002ce0d28ec990aadbbc89df457189de37d8adaadc9c084b78eb7be9a9820c81.exe,400848,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,4,6.205815553975595,5.79758821195126,0.32219943719315053,0.21532600886121422,256,16,1,1,0,0,0,1,1,0,0,0,0,0.0,0
benign,003851675800dc05cdac1baa84cab8f68534b244906d97ced0c40f50da27df0a.exe,data\raw\benign\003851675800dc05cdac1baa84cab8f68534b244906d97ced0c40f50da27df0a.exe,54264,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,9,5.7756931132187335,5.167075108397987,0.38629662391272296,0.3273625239569512,256,22,1,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,00eea85752664955047caad7d6280bc7bf1ab91c61eb9a2542c26b747a12e963.exe,data\raw\benign\00eea85752664955047caad7d6280bc7bf1ab91c61eb9a2542c26b747a12e963.exe,38400,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,9,5.8243819996080575,5.303305046158989,0.39403645833333334,0.27979166666666666,256,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,0111bddac92a792c7b2ee3ab77642c33df0e01afe737b0d1fa0cbbf331d9572c.exe,data\raw\benign\0111bddac92a792c7b2ee3ab77642c33df0e01afe737b0d1fa0cbbf331d9572c.exe,65536,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,1,6.395914265227364,5.202085865594572,0.3675994873046875,0.1632843017578125,256,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,016584e586de67b725ac1e3974fcca320bf81c8c489ebb17d9909735d517e7ae.exe,data\raw\benign\016584e586de67b725ac1e3974fcca320bf81c8c489ebb17d9909735d517e7ae.exe,74936,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,1,6.507932745491894,4.971791151135959,0.33962314508380487,0.19947688694352514,256,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,01a38ae91ae28ca9dcc89790292ad106a3f5bf8c16318b7ac9c1e7ab4ca628d4.exe,data\raw\benign\01a38ae91ae28ca9dcc89790292ad106a3f5bf8c16318b7ac9c1e7ab4ca628d4.exe,308271,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,24,7.983542726366662,6.359161522369793,0.3602285002481583,0.012956132753324185,256,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,0a2027ea20fd995fd41fbe1a6e6a361dbdc09a83741f1d9e928eddf50030c6b3.exe,data\raw\benign\0a2027ea20fd995fd41fbe1a6e6a361dbdc09a83741f1d9e928eddf50030c6b3.exe,166048,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,0,5.889641938959932,5.005795265889311,0.491062825207169,0.23452254769705144,256,8,3,1,0,0,0,1,1,0,0,0,0,0.0,0
benign,0a464a3765ffc0c23cf47345bf1185426af8e6b5711e015ca18027afcac2f2e0.exe,data\raw\benign\0a464a3765ffc0c23cf47345bf1185426af8e6b5711e015ca18027afcac2f2e0.exe,384280,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,11,6.058706599383555,5.6737626753564285,0.2781435411678984,0.221890288331425,256,10,2,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,0b65c9b63092c96fc737ef39a1f05e437d5bbe57f0ca2bc634a14a34a92ebcb4.exe,data\raw\benign\0b65c9b63092c96fc737ef39a1f05e437d5bbe57f0ca2bc634a14a34a92ebcb4.exe,63448,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,9,6.055306722444391,5.364752540714573,0.3970810742655403,0.2817110074391628,256,20,1,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,0b832ebbd0d324e28292d883ad532fd64a344c82360cf7fa052b4028559b4427.exe,data\raw\benign\0b832ebbd0d324e28292d883ad532fd64a344c82360cf7fa052b4028559b4427.exe,78848,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,3,6.187968044129996,3.6841105403509706,0.2627714082792208,0.1891106939935065,256,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,0be00b72a65e558aa92a4f197663f3496b2a3ceaa5f77bafe309727141ad77af.exe,data\raw\benign\0be00b72a65e558aa92a4f197663f3496b2a3ceaa5f77bafe309727141ad77af.exe,47744,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,9,6.021221874586258,5.2207776922704525,0.400762399463807,0.29094755361930297,256,20,1,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,0bf9cfc88d56b52982655b56d577f69d2ee4b136908684015001c52c64f0a84b.exe,data\raw\benign\0bf9cfc88d56b52982655b56d577f69d2ee4b136908684015001c52c64f0a84b.exe,58552,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,2,6.518486535536848,5.041665785627033,0.34886938106298676,0.19908799016259052,256,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,0c1134c20c7f2a20eeda30f998c5e70336e56fa1fde05434028d97f3eeb31c33.exe,data\raw\benign\0c1134c20c7f2a20eeda30f998c5e70336e56fa1fde05434028d97f3eeb31c33.exe,235464,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,2,6.290336883212071,4.535274021861973,0.36953419631026396,0.244534196310264,256,16,1,3,0,0,0,3,3,0,0,0,0,0.0,0
benign,0c8af4bbf3e29c4ab7dd8372725a931985b669d15b82615ab05838ed348bf558.exe,data\raw\benign\0c8af4bbf3e29c4ab7dd8372725a931985b669d15b82615ab05838ed348bf558.exe,205824,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,9,5.722149394029106,5.152626904738882,0.3107509328358209,0.2416384872512438,256,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
benign,0c9baed0badb2431a9b173609d3990ccbba7cba4455ba0e8ebe6267d8b4ae3ef.exe,data\raw\benign\0c9baed0badb2431a9b173609d3990ccbba7cba4455ba0e8ebe6267d8b4ae3ef.exe,1132320,68,1,0,0,0,0.014705882352941176,executable,1,0,0,0,0,1,1,0,,5,6.3643448973668315,5.055997391697823,0.34972181008902076,0.17297848664688428,256,8,0,0,0,0,2,0,2,0,0,0,0,0.0,0
